legislation_id,title,document_type,proposed_domain,proposed_subdomain,classification_confidence,classification_reasons,scope_status,pdf_match_status,local_pdf,text_layer_status,ocr_required,official_gazette_date,official_gazette_number,source_url,human_domain,human_subdomain,validity_status,approved_for_active_rag,reviewed_by,review_notes
55223,"ULAŞTIRMA, DENİZCİLİK VE HABERLEŞME BAKANLIĞI DENİZ TİCARETİ GENEL MÜDÜRLÜĞÜ, GENEL UYGULAMA TALİMATI 2014",Talimat / Talimatname / İç Emir,maritime,maritime,0.98,maritime: 'deniz ticareti' (+8) | maritime: 'denizcilik' (+8) | maritime: 'denizci' (+7),out_of_scope,matched,"Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55223_ULAŞTIRMA, DENİZCİLİK VE HABERLEŞME BAKANLIĞI DENİZ TİCARETİ GENEL MÜ.pdf",available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55223,,,needs_verification,false,,
55227,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/243 SAYILI MSC.1/CİRC. 1328 SİRKÜLERİNE TABİ ŞİŞİRİLEBİLİR CANSALLARI KONULU UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55227_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013243 SAYILI MSC.1Cİ.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55227,,,needs_verification,false,,
55230,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/198 SAYILI MSC.133(76) VE MSC.168(79) SAYILI KARARLAR İLE 1997 SOLAS KONFERANSINDA İDARENİN TAKDİRİNE BIRAKILAN HUSUSLAR KONULU UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55230_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013198 SAYILI MSC.133.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55230,,,needs_verification,false,,
55232,"TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/197 SAYILI MSC.215(82), MSC.288(87) VE MSC.289(87) SAYILI KARARLARDA İDARE TAKDİRİNE BIRAKILAN HUSUSLAR KONULU UYGULAMA TALİMATI",Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55232_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013197 SAYILI MSC.215.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55232,,,needs_verification,false,,
55234,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/80 SAYILI ONDÜLE PERDELERDE EMNİYET TEDBİRLERİ KONULU UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55234_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 201380 SAYILI ONDÜLE P.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55234,,,needs_verification,false,,
55297,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ'NÜN 2013/89 SAYILI UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55297_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ'NÜN 201389 SAYILI UYGULAM.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55297,,,needs_verification,false,,
55303,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ'NÜN 2013/185 SAYILI UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55303_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ'NÜN 2013185 SAYILI UYGULA.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55303,,,needs_verification,false,,
55518,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/234 SAYILI UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55518_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013234 SAYILI UYGULAM.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55518,,,needs_verification,false,,
55521,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/81 SAYILI UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55521_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 201381 SAYILI UYGULAMA.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55521,,,needs_verification,false,,
55522,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN DÜŞME ÖNLEYİCİ DONANIMLAR (FPD),Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55522_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN DÜŞME ÖNLEYİCİ DONANIM.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55522,,,needs_verification,false,,
55523,YOLCU GEMİLERİNDE SU BASKINI TESPİT SİSİTEMLERİ UYGULAMA TALİMATI 2013/76,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'gemi' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55523_YOLCU GEMİLERİNDE SU BASKINI TESPİT SİSİTEMLERİ UYGULAMA TALİMATI 201.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55523,,,needs_verification,false,,
55525,YOLCU GEMİLERİNDE CAN SALI İNDİRME DONANIMI UYGULAMA TALİMATI 2013/201,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'gemi' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55525_YOLCU GEMİLERİNDE CAN SALI İNDİRME DONANIMI UYGULAMA TALİMATI 2013201.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55525,,,needs_verification,false,,
55526,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/209 SAYILI UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55526_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013209 SAYILI UYGULAM.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55526,,,needs_verification,false,,
55527,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN ELEKTRONİK YALPA ÖLÇERLERİN PERFORMANS STANDARTLARI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55527_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN ELEKTRONİK YALPA ÖLÇER.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55527,,,needs_verification,false,,
55530,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/230 SAYILI UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55530_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013230 SAYILI UYGULAM.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55530,,,needs_verification,false,,
55531,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN ENERJİ VERİMLİLİĞİ DİZAYN ENDEKSİ (EEDI) 2013 REHBERİ,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55531_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN ENERJİ VERİMLİLİĞİ DİZ.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55531,,,needs_verification,false,,
55532,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/203 SAYILI UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55532_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013203 SAYILI UYGULAM.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55532,,,needs_verification,false,,
55535,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN FİLİKA KONTROL DÜZENLEMELERİNİN STANDARDİZASYONU İÇİN REHBER,Talimat / Talimatname / İç Emir,maritime,maritime,0.98,maritime: 'filika' (+7) | maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55535_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN FİLİKA KONTROL DÜZENLE.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55535,,,needs_verification,false,,
