mevzuatId,turId,sayi,ad,rgSayi,rgTarih,tur,detail_url,local_archive
186813,20,,GEMİ VE SU ARAÇLARINDA GAZDAN ARINDIRMA YÖNETMELİĞİ,31737                                             ,2022-02-01T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/186813,
61382,20,,"GEMİ VE SU ARAÇLARININ İNŞA, TADİLAT VE BAKIM-ONARIM YÖNETMELİĞİ",29525                                             ,2015-11-07T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/61382,
203412,20,,GEMİADAMLARI VE KILAVUZ KAPTANLAR YÖNETMELİĞİ,32647                                             ,2024-08-29T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/203412,
95660,20,,GEMİLER İÇİN YETKİLENDİRİLMİŞ KURULUŞLAR YÖNETMELİĞİ,29952                                             ,2017-01-18T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/95660,
37569,20,,GEMİLERDE METEOROLOJİK RASAT YAPILMASI HAKKINDA YÖNETMELİK,26230                                             ,2006-07-16T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/37569,
35431,20,,GEMİLERDEN ATIK ALINMASI VE ATIKLARIN KONTROLÜ YÖNETMELİĞİ,25682                                             ,2004-12-26T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/35431,
37723,20,,GEMİLERİN GENEL DENETİMİ VE BELGELENDİRİLMESİ HAKKINDA YÖNETMELİK,26342                                             ,2006-11-10T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/37723,
39337,20,,GEMİLERİN TEKNİK YÖNETMELİĞİ,27409                                             ,2009-11-17T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/39337,
38919,20,,GEMİLERİN TONİLATOLARINI ÖLÇME YÖNETMELİĞİ,27167                                             ,2009-03-12T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/38919,
200884,20,,GEMİLERLE YAPILAN DÜZENLİ SEFERLER HAKKINDA YÖNETMELİK,32377                                             ,2023-11-22T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/200884,
105338,20,,GEZİ TEKNELERİ VE KİŞİSEL DENİZ TAŞITLARI YÖNETMELİĞİ,30057                                             ,2017-05-05T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/105338,
43375,20,SHY-FUA,HAVA SAHASININ ESNEK KULLANIMI YÖNETMELİĞİ (SHY-FUA),28976                                             ,2014-04-18T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/43375,
43611,20,,"HAZİNE TAŞINMAZLARININ TERSANE, TEKNE İMAL VE ÇEKEK YERİ YATIRIMLARINA TAHSİSİNE İLİŞKİN YÖNETMELİK",29050                                             ,2014-07-04T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/43611,
176986,20,,HURDAYA AYRILAN TÜRK BAYRAKLI GEMİLERİN YERLERİNE YENİ GEMİ İNŞA EDİLMESİNİN TEŞVİKİNE DAİR YÖNETMELİK,31468                                             ,2021-04-28T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/176986,
203578,20,,İÇ SULARDA ÇALIŞAN GEMİ VE SU ARAÇLARI YÖNETMELİĞİ,32659                                             ,2024-09-11T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/203578,
